year,month,category,cpi,region,period,estimatedcost,avg_wage
2015,jan,Food at Home,250.441,West,Pre-COVID,350.17,47287.692307692305
2016,jan,Food at Home,249.584,West,Pre-COVID,348.97,48566.92307692308
2017,jan,Food at Home,244.028,West,Pre-COVID,341.2,49716.92307692308
2018,jan,Food at Home,246.729,West,Pre-COVID,344.98,50980.0
2019,jan,Food at Home,249.31,West,Pre-COVID,348.59,
2020,jan,Food at Home,250.901,West,Post-COVID,350.81,55413.07692307692
2021,jan,Food at Home,263.024,West,Post-COVID,367.76,57181.53846153846
2022,jan,Food at Home,284.701,West,Post-COVID,398.07,60580.769230769234
2023,jan,Food at Home,314.531,West,Post-COVID,439.78,64514.61538461538
2024,jan,Food at Home,319.595,West,Post-COVID,446.86,67345.38461538461
2025,jan,Food at Home,327.3,West,Post-COVID,457.63,70388.67695938653
2015,jan,Food Away From Home,246.713,West,Pre-COVID,272.92,47287.692307692305
2016,jan,Food Away From Home,255.149,West,Pre-COVID,282.25,48566.92307692308
2017,jan,Food Away From Home,262.638,West,Pre-COVID,290.53,49716.92307692308
2018,jan,Food Away From Home,271.543,West,Pre-COVID,300.38,50980.0
2019,jan,Food Away From Home,280.922,West,Pre-COVID,310.76,
2020,jan,Food Away From Home,292.149,West,Post-COVID,323.18,55413.07692307692
2021,jan,Food Away From Home,305.392,West,Post-COVID,337.83,57181.53846153846
2022,jan,Food Away From Home,324.676,West,Post-COVID,359.16,60580.769230769234
2023,jan,Food Away From Home,352.467,West,Post-COVID,389.9,64514.61538461538
2024,jan,Food Away From Home,371.193,West,Post-COVID,410.62,67345.38461538461
2025,jan,Food Away From Home,385.849,West,Post-COVID,426.83,70388.67695938653
2015,jan,Energy,214.552,West,Pre-COVID,299.83,47287.692307692305
2016,jan,Energy,218.529,West,Pre-COVID,305.39,48566.92307692308
2017,jan,Energy,228.035,West,Pre-COVID,318.68,49716.92307692308
2018,jan,Energy,244.32,West,Pre-COVID,341.43,50980.0
2019,jan,Energy,248.473,West,Pre-COVID,347.24,
2020,jan,Energy,263.417,West,Post-COVID,368.12,55413.07692307692
2021,jan,Energy,252.23,West,Post-COVID,352.49,57181.53846153846
2022,jan,Energy,328.641,West,Post-COVID,459.27,60580.769230769234
2023,jan,Energy,355.921,West,Post-COVID,497.39,64514.61538461538
2024,jan,Energy,352.784,West,Post-COVID,493.01,67345.38461538461
2025,jan,Energy,343.815,West,Post-COVID,480.48,70388.67695938653
2015,jan,Shelter,282.147,West,Pre-COVID,1524.58,47287.692307692305
2016,jan,Shelter,295.183,West,Pre-COVID,1595.02,48566.92307692308
2017,jan,Shelter,310.723,West,Pre-COVID,1678.99,49716.92307692308
2018,jan,Shelter,324.386,West,Pre-COVID,1752.82,50980.0
2019,jan,Shelter,337.955,West,Pre-COVID,1826.14,
2020,jan,Shelter,351.875,West,Post-COVID,1901.36,55413.07692307692
2021,jan,Shelter,357.04,West,Post-COVID,1929.27,57181.53846153846
2022,jan,Shelter,374.169,West,Post-COVID,2021.82,60580.769230769234
2023,jan,Shelter,403.199,West,Post-COVID,2178.69,64514.61538461538
2024,jan,Shelter,422.948,West,Post-COVID,2285.4,67345.38461538461
2025,jan,Shelter,436.72,West,Post-COVID,2359.82,70388.67695938653
2015,jan,Medical Care,447.286,West,Pre-COVID,418.42,47287.692307692305
2016,jan,Medical Care,460.641,West,Pre-COVID,430.91,48566.92307692308
2017,jan,Medical Care,476.005,West,Pre-COVID,445.28,49716.92307692308
2018,jan,Medical Care,487.607,West,Pre-COVID,456.14,50980.0
2019,jan,Medical Care,502.208,West,Pre-COVID,469.79,
2020,jan,Medical Care,533.905,West,Post-COVID,499.44,55413.07692307692
2021,jan,Medical Care,539.245,West,Post-COVID,504.44,57181.53846153846
2022,jan,Medical Care,555.913,West,Post-COVID,520.03,60580.769230769234
2023,jan,Medical Care,576.065,West,Post-COVID,538.88,64514.61538461538
2024,jan,Medical Care,599.698,West,Post-COVID,560.99,67345.38461538461
2025,jan,Medical Care,616.645,West,Post-COVID,576.84,70388.67695938653
2015,feb,Food at Home,249.628,West,Pre-COVID,350.17,47287.692307692305
2016,feb,Food at Home,250.045,West,Pre-COVID,350.75,48566.92307692308
2017,feb,Food at Home,245.268,West,Pre-COVID,344.05,49716.92307692308
2018,feb,Food at Home,245.834,West,Pre-COVID,344.84,50980.0
2019,feb,Food at Home,250.208,West,Pre-COVID,350.98,
2020,feb,Food at Home,253.013,West,Post-COVID,354.91,55413.07692307692
2021,feb,Food at Home,263.956,West,Post-COVID,370.27,57181.53846153846
2022,feb,Food at Home,288.722,West,Post-COVID,405.01,60580.769230769234
2023,feb,Food at Home,316.268,West,Post-COVID,443.65,64514.61538461538
2024,feb,Food at Home,319.779,West,Post-COVID,448.57,67345.38461538461
2025,feb,Food at Home,328.066,West,Post-COVID,460.2,70388.67695938653
2015,feb,Food Away From Home,247.524,West,Pre-COVID,272.92,47287.692307692305
2016,feb,Food Away From Home,255.841,West,Pre-COVID,282.09,48566.92307692308
2017,feb,Food Away From Home,263.827,West,Pre-COVID,290.89,49716.92307692308
2018,feb,Food Away From Home,272.39,West,Pre-COVID,300.33,50980.0
2019,feb,Food Away From Home,281.872,West,Pre-COVID,310.79,
2020,feb,Food Away From Home,293.38,West,Post-COVID,323.48,55413.07692307692
2021,feb,Food Away From Home,306.955,West,Post-COVID,338.44,57181.53846153846
2022,feb,Food Away From Home,326.611,West,Post-COVID,360.12,60580.769230769234
2023,feb,Food Away From Home,355.544,West,Post-COVID,392.02,64514.61538461538
2024,feb,Food Away From Home,371.29,West,Post-COVID,409.38,67345.38461538461
2025,feb,Food Away From Home,387.421,West,Post-COVID,427.17,70388.67695938653
2015,feb,Energy,220.63,West,Pre-COVID,299.83,47287.692307692305
2016,feb,Energy,205.191,West,Pre-COVID,278.85,48566.92307692308
2017,feb,Energy,230.081,West,Pre-COVID,312.68,49716.92307692308
2018,feb,Energy,249.957,West,Pre-COVID,339.69,50980.0
2019,feb,Energy,244.834,West,Pre-COVID,332.73,
2020,feb,Energy,260.843,West,Post-COVID,354.48,55413.07692307692
2021,feb,Energy,261.331,West,Post-COVID,355.15,57181.53846153846
2022,feb,Energy,331.185,West,Post-COVID,450.08,60580.769230769234
2023,feb,Energy,354.104,West,Post-COVID,481.22,64514.61538461538
2024,feb,Energy,356.324,West,Post-COVID,484.24,67345.38461538461
2025,feb,Energy,354.457,West,Post-COVID,481.7,70388.67695938653
2015,feb,Shelter,283.426,West,Pre-COVID,1524.58,47287.692307692305
2016,feb,Shelter,296.707,West,Pre-COVID,1596.02,48566.92307692308
2017,feb,Shelter,312.523,West,Pre-COVID,1681.1,49716.92307692308
2018,feb,Shelter,325.619,West,Pre-COVID,1751.54,50980.0
2019,feb,Shelter,339.427,West,Pre-COVID,1825.82,
2020,feb,Shelter,353.541,West,Post-COVID,1901.74,55413.07692307692
2021,feb,Shelter,357.67,West,Post-COVID,1923.95,57181.53846153846
2022,feb,Shelter,376.28,West,Post-COVID,2024.06,60580.769230769234
2023,feb,Shelter,406.18,West,Post-COVID,2184.89,64514.61538461538
2024,feb,Shelter,424.77,West,Post-COVID,2284.89,67345.38461538461
2025,feb,Shelter,438.028,West,Post-COVID,2356.21,70388.67695938653
2015,feb,Medical Care,449.719,West,Pre-COVID,418.42,47287.692307692305
2016,feb,Medical Care,466.39,West,Pre-COVID,433.93,48566.92307692308
2017,feb,Medical Care,474.386,West,Pre-COVID,441.37,49716.92307692308
2018,feb,Medical Care,488.655,West,Pre-COVID,454.64,50980.0
2019,feb,Medical Care,502.117,West,Pre-COVID,467.17,
2020,feb,Medical Care,533.413,West,Post-COVID,496.29,55413.07692307692
2021,feb,Medical Care,539.796,West,Post-COVID,502.22,57181.53846153846
2022,feb,Medical Care,561.235,West,Post-COVID,522.17,60580.769230769234
2023,feb,Medical Care,570.411,West,Post-COVID,530.71,64514.61538461538
2024,feb,Medical Care,601.871,West,Post-COVID,559.98,67345.38461538461
2025,feb,Medical Care,619.282,West,Post-COVID,576.18,70388.67695938653
2015,mar,Food at Home,247.781,West,Pre-COVID,350.17,47287.692307692305
2016,mar,Food at Home,247.901,West,Pre-COVID,350.34,48566.92307692308
2017,mar,Food at Home,246.208,West,Pre-COVID,347.94,49716.92307692308
2018,mar,Food at Home,246.683,West,Pre-COVID,348.61,50980.0
2019,mar,Food at Home,250.581,West,Pre-COVID,354.12,
2020,mar,Food at Home,254.483,West,Post-COVID,359.64,55413.07692307692
2021,mar,Food at Home,264.033,West,Post-COVID,373.13,57181.53846153846
2022,mar,Food at Home,293.496,West,Post-COVID,414.77,60580.769230769234
2023,mar,Food at Home,315.503,West,Post-COVID,445.87,64514.61538461538
2024,mar,Food at Home,319.813,West,Post-COVID,451.96,67345.38461538461
2025,mar,Food at Home,330.443,West,Post-COVID,466.99,70388.67695938653
2015,mar,Food Away From Home,248.05,West,Pre-COVID,272.92,47287.692307692305
2016,mar,Food Away From Home,256.275,West,Pre-COVID,281.97,48566.92307692308
2017,mar,Food Away From Home,264.355,West,Pre-COVID,290.86,49716.92307692308
2018,mar,Food Away From Home,273.346,West,Pre-COVID,300.75,50980.0
2019,mar,Food Away From Home,282.618,West,Pre-COVID,310.95,
2020,mar,Food Away From Home,293.552,West,Post-COVID,322.98,55413.07692307692
2021,mar,Food Away From Home,307.658,West,Post-COVID,338.5,57181.53846153846
2022,mar,Food Away From Home,325.535,West,Post-COVID,358.17,60580.769230769234
2023,mar,Food Away From Home,357.253,West,Post-COVID,393.07,64514.61538461538
2024,mar,Food Away From Home,372.804,West,Post-COVID,410.18,67345.38461538461
2025,mar,Food Away From Home,388.758,West,Post-COVID,427.73,70388.67695938653
2015,mar,Energy,241.612,West,Pre-COVID,299.83,47287.692307692305
2016,mar,Energy,210.052,West,Pre-COVID,260.67,48566.92307692308
2017,mar,Energy,234.283,West,Pre-COVID,290.74,49716.92307692308
2018,mar,Energy,252.436,West,Pre-COVID,313.27,50980.0
2019,mar,Energy,251.002,West,Pre-COVID,311.49,
2020,mar,Energy,253.65,West,Post-COVID,314.77,55413.07692307692
2021,mar,Energy,280.792,West,Post-COVID,348.45,57181.53846153846
2022,mar,Energy,374.648,West,Post-COVID,464.93,60580.769230769234
2023,mar,Energy,358.631,West,Post-COVID,445.05,64514.61538461538
2024,mar,Energy,371.03,West,Post-COVID,460.44,67345.38461538461
2025,mar,Energy,354.915,West,Post-COVID,440.44,70388.67695938653
2015,mar,Shelter,284.398,West,Pre-COVID,1524.58,47287.692307692305
2016,mar,Shelter,297.777,West,Pre-COVID,1596.3,48566.92307692308
2017,mar,Shelter,313.379,West,Pre-COVID,1679.94,49716.92307692308
2018,mar,Shelter,326.804,West,Pre-COVID,1751.91,50980.0
2019,mar,Shelter,340.834,West,Pre-COVID,1827.12,
2020,mar,Shelter,353.446,West,Post-COVID,1894.73,55413.07692307692
2021,mar,Shelter,358.434,West,Post-COVID,1921.47,57181.53846153846
2022,mar,Shelter,378.224,West,Post-COVID,2027.56,60580.769230769234
2023,mar,Shelter,409.093,West,Post-COVID,2193.04,64514.61538461538
2024,mar,Shelter,427.898,West,Post-COVID,2293.85,67345.38461538461
2025,mar,Shelter,440.474,West,Post-COVID,2361.27,70388.67695938653
2015,mar,Medical Care,450.675,West,Pre-COVID,418.42,47287.692307692305
2016,mar,Medical Care,464.715,West,Pre-COVID,431.45,48566.92307692308
2017,mar,Medical Care,475.647,West,Pre-COVID,441.6,49716.92307692308
2018,mar,Medical Care,491.089,West,Pre-COVID,455.94,50980.0
2019,mar,Medical Care,503.464,West,Pre-COVID,467.43,
2020,mar,Medical Care,536.698,West,Post-COVID,498.28,55413.07692307692
2021,mar,Medical Care,541.39,West,Post-COVID,502.64,57181.53846153846
2022,mar,Medical Care,562.215,West,Post-COVID,521.97,60580.769230769234
2023,mar,Medical Care,574.691,West,Post-COVID,533.56,64514.61538461538
2024,mar,Medical Care,601.396,West,Post-COVID,558.35,67345.38461538461
2025,mar,Medical Care,628.456,West,Post-COVID,583.47,70388.67695938653
2015,apr,Food at Home,247.676,West,Pre-COVID,350.17,47287.692307692305
2016,apr,Food at Home,247.623,West,Pre-COVID,350.09,48566.92307692308
2017,apr,Food at Home,246.511,West,Pre-COVID,348.52,49716.92307692308
2018,apr,Food at Home,246.843,West,Pre-COVID,348.99,50980.0
2019,apr,Food at Home,250.761,West,Pre-COVID,354.53,
2020,apr,Food at Home,261.197,West,Post-COVID,369.28,55413.07692307692
2021,apr,Food at Home,266.73,West,Post-COVID,377.11,57181.53846153846
2022,apr,Food at Home,296.397,West,Post-COVID,419.05,60580.769230769234
2023,apr,Food at Home,314.637,West,Post-COVID,444.84,64514.61538461538
2024,apr,Food at Home,320.076,West,Post-COVID,452.53,67345.38461538461
2025,apr,Food at Home,329.742,West,Post-COVID,466.19,70388.67695938653
2015,apr,Food Away From Home,248.779,West,Pre-COVID,272.92,47287.692307692305
2016,apr,Food Away From Home,256.965,West,Pre-COVID,281.9,48566.92307692308
2017,apr,Food Away From Home,265.522,West,Pre-COVID,291.28,49716.92307692308
2018,apr,Food Away From Home,274.576,West,Pre-COVID,301.22,50980.0
2019,apr,Food Away From Home,284.01,West,Pre-COVID,311.57,
2020,apr,Food Away From Home,294.153,West,Post-COVID,322.69,55413.07692307692
2021,apr,Food Away From Home,308.522,West,Post-COVID,338.46,57181.53846153846
2022,apr,Food Away From Home,327.934,West,Post-COVID,359.75,60580.769230769234
2023,apr,Food Away From Home,359.175,West,Post-COVID,394.02,64514.61538461538
2024,apr,Food Away From Home,374.678,West,Post-COVID,411.03,67345.38461538461
2025,apr,Food Away From Home,391.126,West,Post-COVID,429.07,70388.67695938653
2015,apr,Energy,238.975,West,Pre-COVID,299.83,47287.692307692305
2016,apr,Energy,220.077,West,Pre-COVID,276.12,48566.92307692308
2017,apr,Energy,237.732,West,Pre-COVID,298.27,49716.92307692308
2018,apr,Energy,263.443,West,Pre-COVID,330.53,50980.0
2019,apr,Energy,272.448,West,Pre-COVID,341.83,
2020,apr,Energy,233.488,West,Post-COVID,292.95,55413.07692307692
2021,apr,Energy,287.601,West,Post-COVID,360.84,57181.53846153846
2022,apr,Energy,378.794,West,Post-COVID,475.26,60580.769230769234
2023,apr,Energy,359.985,West,Post-COVID,451.66,64514.61538461538
2024,apr,Energy,385.035,West,Post-COVID,483.09,67345.38461538461
2025,apr,Energy,363.17,West,Post-COVID,455.66,70388.67695938653
2015,apr,Shelter,285.244,West,Pre-COVID,1524.58,47287.692307692305
2016,apr,Shelter,298.069,West,Pre-COVID,1593.13,48566.92307692308
2017,apr,Shelter,314.096,West,Pre-COVID,1678.79,49716.92307692308
2018,apr,Shelter,327.549,West,Pre-COVID,1750.7,50980.0
2019,apr,Shelter,342.714,West,Pre-COVID,1831.75,
2020,apr,Shelter,354.156,West,Post-COVID,1892.91,55413.07692307692
2021,apr,Shelter,360.206,West,Post-COVID,1925.24,57181.53846153846
2022,apr,Shelter,380.733,West,Post-COVID,2034.96,60580.769230769234
2023,apr,Shelter,409.741,West,Post-COVID,2190.0,64514.61538461538
2024,apr,Shelter,429.234,West,Post-COVID,2294.19,67345.38461538461
2025,apr,Shelter,441.834,West,Post-COVID,2361.53,70388.67695938653
2015,apr,Medical Care,456.01,West,Pre-COVID,418.42,47287.692307692305
2016,apr,Medical Care,466.222,West,Pre-COVID,427.79,48566.92307692308
2017,apr,Medical Care,476.828,West,Pre-COVID,437.52,49716.92307692308
2018,apr,Medical Care,491.184,West,Pre-COVID,450.69,50980.0
2019,apr,Medical Care,507.429,West,Pre-COVID,465.6,
2020,apr,Medical Care,535.571,West,Post-COVID,491.42,55413.07692307692
2021,apr,Medical Care,544.218,West,Post-COVID,499.35,57181.53846153846
2022,apr,Medical Care,563.983,West,Post-COVID,517.49,60580.769230769234
2023,apr,Medical Care,577.995,West,Post-COVID,530.35,64514.61538461538
2024,apr,Medical Care,603.789,West,Post-COVID,554.01,67345.38461538461
2025,apr,Medical Care,630.931,West,Post-COVID,578.92,70388.67695938653
2015,may,Food at Home,247.018,West,Pre-COVID,350.17,47287.692307692305
2016,may,Food at Home,247.094,West,Pre-COVID,350.27,48566.92307692308
2017,may,Food at Home,246.228,West,Pre-COVID,349.05,49716.92307692308
2018,may,Food at Home,246.051,West,Pre-COVID,348.8,50980.0
2019,may,Food at Home,251.223,West,Pre-COVID,356.13,
2020,may,Food at Home,262.813,West,Post-COVID,372.56,55413.07692307692
2021,may,Food at Home,268.142,West,Post-COVID,380.11,57181.53846153846
2022,may,Food at Home,299.993,West,Post-COVID,425.26,60580.769230769234
2023,may,Food at Home,315.105,West,Post-COVID,446.69,64514.61538461538
2024,may,Food at Home,321.106,West,Post-COVID,455.19,67345.38461538461
2025,may,Food at Home,330.088,West,Post-COVID,467.92,70388.67695938653
2015,may,Food Away From Home,249.196,West,Pre-COVID,272.92,47287.692307692305
2016,may,Food Away From Home,257.433,West,Pre-COVID,281.94,48566.92307692308
2017,may,Food Away From Home,265.849,West,Pre-COVID,291.15,49716.92307692308
2018,may,Food Away From Home,275.231,West,Pre-COVID,301.43,50980.0
2019,may,Food Away From Home,284.595,West,Pre-COVID,311.69,
2020,may,Food Away From Home,295.501,West,Post-COVID,323.63,55413.07692307692
2021,may,Food Away From Home,310.095,West,Post-COVID,339.61,57181.53846153846
2022,may,Food Away From Home,331.529,West,Post-COVID,363.09,60580.769230769234
2023,may,Food Away From Home,360.635,West,Post-COVID,394.96,64514.61538461538
2024,may,Food Away From Home,375.619,West,Post-COVID,411.37,67345.38461538461
2025,may,Food Away From Home,392.219,West,Post-COVID,429.55,70388.67695938653
2015,may,Energy,261.834,West,Pre-COVID,299.83,47287.692307692305
2016,may,Energy,228.495,West,Pre-COVID,261.66,48566.92307692308
2017,may,Energy,242.54,West,Pre-COVID,277.74,49716.92307692308
2018,may,Energy,273.252,West,Pre-COVID,312.91,50980.0
2019,may,Energy,284.955,West,Pre-COVID,326.31,
2020,may,Energy,231.664,West,Post-COVID,265.28,55413.07692307692
2021,may,Energy,296.918,West,Post-COVID,340.01,57181.53846153846
2022,may,Energy,390.935,West,Post-COVID,447.67,60580.769230769234
2023,may,Energy,362.956,West,Post-COVID,415.63,64514.61538461538
2024,may,Energy,382.721,West,Post-COVID,438.26,67345.38461538461
2025,may,Energy,365.558,West,Post-COVID,418.61,70388.67695938653
2015,may,Shelter,286.077,West,Pre-COVID,1524.58,47287.692307692305
2016,may,Shelter,299.726,West,Pre-COVID,1597.32,48566.92307692308
2017,may,Shelter,314.833,West,Pre-COVID,1677.83,49716.92307692308
2018,may,Shelter,329.057,West,Pre-COVID,1753.64,50980.0
2019,may,Shelter,343.752,West,Pre-COVID,1831.95,
2020,may,Shelter,354.997,West,Post-COVID,1891.88,55413.07692307692
2021,may,Shelter,361.317,West,Post-COVID,1925.56,57181.53846153846
2022,may,Shelter,382.726,West,Post-COVID,2039.65,60580.769230769234
2023,may,Shelter,411.217,West,Post-COVID,2191.49,64514.61538461538
2024,may,Shelter,430.072,West,Post-COVID,2291.97,67345.38461538461
2025,may,Shelter,443.685,West,Post-COVID,2364.52,70388.67695938653
2015,may,Medical Care,455.768,West,Pre-COVID,418.42,47287.692307692305
2016,may,Medical Care,468.86,West,Pre-COVID,430.44,48566.92307692308
2017,may,Medical Care,476.778,West,Pre-COVID,437.7,49716.92307692308
2018,may,Medical Care,493.298,West,Pre-COVID,452.87,50980.0
2019,may,Medical Care,507.396,West,Pre-COVID,465.81,
2020,may,Medical Care,538.722,West,Post-COVID,494.57,55413.07692307692
2021,may,Medical Care,542.235,West,Post-COVID,497.8,57181.53846153846
2022,may,Medical Care,566.873,West,Post-COVID,520.42,60580.769230769234
2023,may,Medical Care,581.914,West,Post-COVID,534.22,64514.61538461538
2024,may,Medical Care,607.285,West,Post-COVID,557.52,67345.38461538461
2025,may,Medical Care,634.178,West,Post-COVID,582.21,70388.67695938653
2015,jun,Food at Home,247.781,West,Pre-COVID,350.17,47287.692307692305
2016,jun,Food at Home,246.086,West,Pre-COVID,347.77,48566.92307692308
2017,jun,Food at Home,244.962,West,Pre-COVID,346.18,49716.92307692308
2018,jun,Food at Home,244.882,West,Pre-COVID,346.07,50980.0
2019,jun,Food at Home,250.038,West,Pre-COVID,353.36,
2020,jun,Food at Home,264.126,West,Post-COVID,373.27,55413.07692307692
2021,jun,Food at Home,269.676,West,Post-COVID,381.11,57181.53846153846
2022,jun,Food at Home,304.172,West,Post-COVID,429.86,60580.769230769234
2023,jun,Food at Home,316.652,West,Post-COVID,447.5,64514.61538461538
2024,jun,Food at Home,320.676,West,Post-COVID,453.18,67345.38461538461
2025,jun,Food at Home,330.294,West,Post-COVID,466.77,70388.67695938653
2015,jun,Food Away From Home,249.537,West,Pre-COVID,272.92,47287.692307692305
2016,jun,Food Away From Home,258.137,West,Pre-COVID,282.32,48566.92307692308
2017,jun,Food Away From Home,266.125,West,Pre-COVID,291.06,49716.92307692308
2018,jun,Food Away From Home,275.616,West,Pre-COVID,301.44,50980.0
2019,jun,Food Away From Home,284.858,West,Pre-COVID,311.55,
2020,jun,Food Away From Home,298.074,West,Post-COVID,326.0,55413.07692307692
2021,jun,Food Away From Home,312.352,West,Post-COVID,341.62,57181.53846153846
2022,jun,Food Away From Home,336.151,West,Post-COVID,367.65,60580.769230769234
2023,jun,Food Away From Home,360.841,West,Post-COVID,394.65,64514.61538461538
2024,jun,Food Away From Home,377.964,West,Post-COVID,413.38,67345.38461538461
2025,jun,Food Away From Home,393.62,West,Post-COVID,430.5,70388.67695938653
2015,jun,Energy,259.758,West,Pre-COVID,299.83,47287.692307692305
2016,jun,Energy,232.755,West,Pre-COVID,268.66,48566.92307692308
2017,jun,Energy,241.71,West,Pre-COVID,279.0,49716.92307692308
2018,jun,Energy,275.62,West,Pre-COVID,318.14,50980.0
2019,jun,Energy,277.892,West,Pre-COVID,320.77,
2020,jun,Energy,240.961,West,Post-COVID,278.14,55413.07692307692
2021,jun,Energy,301.487,West,Post-COVID,348.0,57181.53846153846
2022,jun,Energy,411.874,West,Post-COVID,475.42,60580.769230769234
2023,jun,Energy,365.261,West,Post-COVID,421.61,64514.61538461538
2024,jun,Energy,368.735,West,Post-COVID,425.62,67345.38461538461
2025,jun,Energy,362.354,West,Post-COVID,418.26,70388.67695938653
2015,jun,Shelter,286.858,West,Pre-COVID,1524.58,47287.692307692305
2016,jun,Shelter,300.867,West,Pre-COVID,1599.04,48566.92307692308
2017,jun,Shelter,315.895,West,Pre-COVID,1678.91,49716.92307692308
2018,jun,Shelter,330.401,West,Pre-COVID,1756.0,50980.0
2019,jun,Shelter,345.131,West,Pre-COVID,1834.29,
2020,jun,Shelter,355.083,West,Post-COVID,1887.18,55413.07692307692
2021,jun,Shelter,362.727,West,Post-COVID,1927.81,57181.53846153846
2022,jun,Shelter,385.252,West,Post-COVID,2047.52,60580.769230769234
2023,jun,Shelter,412.895,West,Post-COVID,2194.44,64514.61538461538
2024,jun,Shelter,429.865,West,Post-COVID,2284.63,67345.38461538461
2025,jun,Shelter,444.457,West,Post-COVID,2362.19,70388.67695938653
2015,jun,Medical Care,453.453,West,Pre-COVID,418.42,47287.692307692305
2016,jun,Medical Care,469.404,West,Pre-COVID,433.14,48566.92307692308
2017,jun,Medical Care,476.913,West,Pre-COVID,440.06,49716.92307692308
2018,jun,Medical Care,496.224,West,Pre-COVID,457.88,50980.0
2019,jun,Medical Care,507.872,West,Pre-COVID,468.63,
2020,jun,Medical Care,540.943,West,Post-COVID,499.15,55413.07692307692
2021,jun,Medical Care,540.688,West,Post-COVID,498.91,57181.53846153846
2022,jun,Medical Care,567.25,West,Post-COVID,523.42,60580.769230769234
2023,jun,Medical Care,580.121,West,Post-COVID,535.3,64514.61538461538
2024,jun,Medical Care,609.095,West,Post-COVID,562.03,67345.38461538461
2025,jun,Medical Care,634.85,West,Post-COVID,585.8,70388.67695938653
2015,jul,Food at Home,249.077,West,Pre-COVID,350.17,47287.692307692305
2016,jul,Food at Home,245.52,West,Pre-COVID,345.17,48566.92307692308
2017,jul,Food at Home,246.141,West,Pre-COVID,346.04,49716.92307692308
2018,jul,Food at Home,246.043,West,Pre-COVID,345.9,50980.0
2019,jul,Food at Home,250.45,West,Pre-COVID,352.1,
2020,jul,Food at Home,261.964,West,Post-COVID,368.28,55413.07692307692
2021,jul,Food at Home,272.502,West,Post-COVID,383.1,57181.53846153846
2022,jul,Food at Home,307.392,West,Post-COVID,432.15,60580.769230769234
2023,jul,Food at Home,317.45,West,Post-COVID,446.29,64514.61538461538
2024,jul,Food at Home,320.604,West,Post-COVID,450.72,67345.38461538461
2025,jul,Food at Home,330.207,West,Post-COVID,464.22,70388.67695938653
2015,jul,Food Away From Home,248.217,West,Pre-COVID,272.92,47287.692307692305
2016,jul,Food Away From Home,258.704,West,Pre-COVID,284.45,48566.92307692308
2017,jul,Food Away From Home,266.577,West,Pre-COVID,293.1,49716.92307692308
2018,jul,Food Away From Home,275.768,West,Pre-COVID,303.21,50980.0
2019,jul,Food Away From Home,285.801,West,Pre-COVID,314.24,
2020,jul,Food Away From Home,300.104,West,Post-COVID,329.97,55413.07692307692
2021,jul,Food Away From Home,315.954,West,Post-COVID,347.39,57181.53846153846
2022,jul,Food Away From Home,337.584,West,Post-COVID,371.18,60580.769230769234
2023,jul,Food Away From Home,361.011,West,Post-COVID,396.93,64514.61538461538
2024,jul,Food Away From Home,378.716,West,Post-COVID,416.4,67345.38461538461
2025,jul,Food Away From Home,393.978,West,Post-COVID,433.18,70388.67695938653
2015,jul,Energy,265.318,West,Pre-COVID,299.83,47287.692307692305
2016,jul,Energy,232.523,West,Pre-COVID,262.77,48566.92307692308
2017,jul,Energy,237.666,West,Pre-COVID,268.58,49716.92307692308
2018,jul,Energy,273.095,West,Pre-COVID,308.62,50980.0
2019,jul,Energy,272.575,West,Pre-COVID,308.03,
2020,jul,Energy,247.429,West,Post-COVID,279.62,55413.07692307692
2021,jul,Energy,309.105,West,Post-COVID,349.32,57181.53846153846
2022,jul,Energy,397.191,West,Post-COVID,448.86,60580.769230769234
2023,jul,Energy,370.197,West,Post-COVID,418.36,64514.61538461538
2024,jul,Energy,359.673,West,Post-COVID,406.46,67345.38461538461
2025,jul,Energy,358.734,West,Post-COVID,405.4,70388.67695938653
2015,jul,Shelter,288.418,West,Pre-COVID,1524.58,47287.692307692305
2016,jul,Shelter,302.297,West,Pre-COVID,1597.95,48566.92307692308
2017,jul,Shelter,317.46,West,Pre-COVID,1678.1,49716.92307692308
2018,jul,Shelter,331.639,West,Pre-COVID,1753.05,50980.0
2019,jul,Shelter,346.749,West,Pre-COVID,1832.92,
2020,jul,Shelter,356.272,West,Post-COVID,1883.26,55413.07692307692
2021,jul,Shelter,364.668,West,Post-COVID,1927.64,57181.53846153846
2022,jul,Shelter,387.37,West,Post-COVID,2047.65,60580.769230769234
2023,jul,Shelter,413.469,West,Post-COVID,2185.61,64514.61538461538
2024,jul,Shelter,431.089,West,Post-COVID,2278.75,67345.38461538461
2025,jul,Shelter,444.667,West,Post-COVID,2350.52,70388.67695938653
2015,jul,Medical Care,455.089,West,Pre-COVID,418.42,47287.692307692305
2016,jul,Medical Care,469.671,West,Pre-COVID,431.82,48566.92307692308
2017,jul,Medical Care,479.489,West,Pre-COVID,440.85,49716.92307692308
2018,jul,Medical Care,496.037,West,Pre-COVID,456.06,50980.0
2019,jul,Medical Care,509.995,West,Pre-COVID,468.9,
2020,jul,Medical Care,544.125,West,Post-COVID,500.28,55413.07692307692
2021,jul,Medical Care,541.222,West,Post-COVID,497.61,57181.53846153846
2022,jul,Medical Care,568.682,West,Post-COVID,522.86,60580.769230769234
2023,jul,Medical Care,578.175,West,Post-COVID,531.58,64514.61538461538
